Barcode	Peptide	LFC	totalMeanLFC
640091206	41_654_666	0.31986102627705915	0.31828547037026994
640091206	AKT1_309_321_C310S	-0.7086556013013876	-0.16051094874155383
640091206	AKT1_320_332	0.26171547076625945	0.15716314821369112
640091206	ANXA1_14_26	0.5584879869990429	0.4247938581088648
640091206	ANXA2_17_29	0.4700568514085681	0.7190362854577333
640091206	ARAF_297_307	0.2367796497529886	0.20652815964787705
640091206	BTLA_252_262	0.7269495135979103	0.3373483720091297
640091206	C1R_199_211	-0.05156441134102341	0.4823348142456143
640091206	CALM_95_107	0.36818150240964265	0.6266181894741573
640091206	CBL_693_705	0.5160171675863694	0.7033152328617028
640091206	CD28_203_215	0.6973317081070167	0.2932925268325454
640091206	CD3E_182_194	0.545771775665802	0.3232991919110339
640091206	CD3E_193_205	0.6618001798181856	0.32877908353096724
640091206	CD3Z_105_117	0.4866523881484195	0.31020836088877485
640091206	CD3Z_116_128	0.49541392075965973	0.3412477786555905
640091206	CD3Z_117_129	0.6575712700265051	0.45327884418019604
640091206	CD3Z_135_147	0.7258526200579025	0.3635991626627056
640091206	CD3Z_146_158	-0.05553467696365377	0.6599153382990166
640091206	CD3Z_146_158.1	0.7830304665091736	0.41234960013378386
640091206	CD3Z_77_89	0.5061853873370392	0.28396237408225566
640091206	CD70_9_21_C17S	0.5084643632471124	0.15141029553133803
640091206	CDK1_9_21	0.5666393597042774	0.35568836734101045
640091206	CDK2_8_20	0.11553054490218528	0.23135921844061436
640091206	CDK4_11_23	0.5379703617396663	0.422551269035569
640091206	CRK_214_226	0.3907899530321668	0.14942803316497422
640091206	CTNB1_79_91	0.03415652906312516	0.1865818603293512
640091206	DCX_67_79	0.28239973070072466	0.3209780755094685
640091206	EGFR_1103_1115	0.24450014329084446	0.6628378488013329
640091206	EGFR_1165_1177	0.6425277882549709	0.33511589955813115
640091206	EGFR_1190_1202	0.6552591134015149	0.4673936750068253
640091206	EPHA1_774_786	0.31097714750951777	0.35092171259514543
640091206	EPHA2_765_777	0.45050487830626906	0.4385067819769546
640091206	EPHA7_607_619	0.3215649765607882	0.3858135747466263
640091206	EPHB1_771_783	0.442966800849943	0.5157726669522829
640091206	EPOR_361_373	0.37212089313866503	0.34778879778421423
640091206	EPOR_419_431	0.6797095252727905	0.37659097284216764
640091206	ERBB2_1241_1253	0.6614076648397997	0.31714395577541704
640091206	ERBB2_870_882	0.3829650016621047	0.47815504929073605
640091206	ERBB3_1283_1295	-0.17462139610706906	-0.1860288278649763
640091206	ERBB4_1181_1193	0.8704104446690897	0.26648221921216536
640091206	ERBB4_1277_1289	0.5063009092205046	0.22376727854536918
640091206	FAK1_569_581	0.1480472504376671	0.3611845156273927
640091206	FAK2_572_584	0.3503872381652995	0.3099457456816757
640091206	FER_707_719	0.3621582925855975	0.28653106740413364
